person_id,id,name,character,role
23446,tm165060,Wilfred Jackson,,DIRECTOR
13776,tm7478,Ben Sharpsteen,,DIRECTOR
6147,tm63962,David Hand,,DIRECTOR
210932,tm89100,Charles A. Nichols,,DIRECTOR
7712,tm78040,Clyde Geronimi,,DIRECTOR
25067,tm71199,Jack Kinney,,DIRECTOR
210932,tm65788,Charles A. Nichols,,DIRECTOR
7712,tm87845,Clyde Geronimi,,DIRECTOR
13776,tm8026,Ben Sharpsteen,,DIRECTOR
151200,tm113865,Dick Lundy,,DIRECTOR
13776,tm160443,Ben Sharpsteen,,DIRECTOR
133995,tm8162,Jack King,,DIRECTOR
151200,tm164081,Dick Lundy,,DIRECTOR
23446,tm165357,Wilfred Jackson,,DIRECTOR
5910,tm161340,Walt Disney,,DIRECTOR
13776,tm64663,Ben Sharpsteen,,DIRECTOR
210932,tm7388,Charles A. Nichols,,DIRECTOR
6147,tm112420,David Hand,,DIRECTOR
210932,tm7466,Charles A. Nichols,,DIRECTOR
7712,tm76217,Clyde Geronimi,,DIRECTOR
181427,tm91651,Jack Hannah,,DIRECTOR
23446,tm97393,Wilfred Jackson,,DIRECTOR
133995,tm78018,Jack King,,DIRECTOR
210932,tm90592,Charles A. Nichols,,DIRECTOR
210932,tm4872,Charles A. Nichols,,DIRECTOR
23446,tm110541,Wilfred Jackson,,DIRECTOR
7712,tm161054,Clyde Geronimi,,DIRECTOR
181427,tm62513,Jack Hannah,,DIRECTOR
23440,tm160483,William Roberts,,DIRECTOR
134005,tm141685,Burt Gillett,,DIRECTOR
134005,tm67239,Burt Gillett,,DIRECTOR
134005,tm3021,Burt Gillett,,DIRECTOR
210932,tm60305,Charles A. Nichols,,DIRECTOR
181427,tm67092,Jack Hannah,,DIRECTOR
25067,tm72295,Jack Kinney,,DIRECTOR
181427,tm1454,Jack Hannah,,DIRECTOR
6147,tm112317,David Hand,,DIRECTOR
511569,tm82574,Riley Thomson,,DIRECTOR
210932,tm64710,Charles A. Nichols,,DIRECTOR
133995,tm75668,Jack King,,DIRECTOR
25067,tm84573,Jack Kinney,,DIRECTOR
133995,tm87968,Jack King,,DIRECTOR
210932,tm63613,Charles A. Nichols,,DIRECTOR
181427,tm63504,Jack Hannah,,DIRECTOR
210932,tm95977,Charles A. Nichols,,DIRECTOR
133995,tm76325,Jack King,,DIRECTOR
210932,tm5618,Charles A. Nichols,,DIRECTOR
23446,tm117183,Wilfred Jackson,,DIRECTOR
15273,tm88215,Robert Wise,,DIRECTOR
2115,tm1,George Lucas,,DIRECTOR
17303,tm189724,Robert Stevenson,,DIRECTOR
25709,tm74066,James Frawley,,DIRECTOR
21691,tm114017,Fred Zinnemann,,DIRECTOR
14168,tm81911,Gene Kelly,,DIRECTOR
19352,tm562,Richard Fleischer,,DIRECTOR
44604,tm2,Irvin Kershner,,DIRECTOR
44408,tm73079,Gary Nelson,,DIRECTOR
7712,tm130611,Clyde Geronimi,,DIRECTOR
23446,tm130611,Wilfred Jackson,,DIRECTOR
23442,tm130611,Hamilton Luske,,DIRECTOR
24607,tm58193,Ken Annakin,,DIRECTOR
5914,tm102135,Wolfgang Reitherman,,DIRECTOR
23550,tm42943,David Swift,,DIRECTOR
5914,tm186525,Wolfgang Reitherman,,DIRECTOR
5914,tm32115,Wolfgang Reitherman,,DIRECTOR
23446,tm105286,Wilfred Jackson,,DIRECTOR
7712,tm105286,Clyde Geronimi,,DIRECTOR
23442,tm105286,Hamilton Luske,,DIRECTOR
17303,tm14236,Robert Stevenson,,DIRECTOR
17303,tm124682,Robert Stevenson,,DIRECTOR
5914,tm121851,Wolfgang Reitherman,,DIRECTOR
59284,tm37937,Henry Levin,,DIRECTOR
7712,tm111159,Clyde Geronimi,,DIRECTOR
23446,tm111159,Wilfred Jackson,,DIRECTOR
23442,tm111159,Hamilton Luske,,DIRECTOR
5914,tm91105,Wolfgang Reitherman,,DIRECTOR
16238,tm91105,John Lounsbery,,DIRECTOR
17303,tm11010,Robert Stevenson,,DIRECTOR
39223,tm92586,Don Chaffey,,DIRECTOR
5914,tm54168,Wolfgang Reitherman,,DIRECTOR
23442,tm54168,Hamilton Luske,,DIRECTOR
7712,tm54168,Clyde Geronimi,,DIRECTOR
17303,tm47427,Robert Stevenson,,DIRECTOR
17303,tm41096,Robert Stevenson,,DIRECTOR
16238,tm92967,John Lounsbery,,DIRECTOR
80318,tm92967,Art Stevens,,DIRECTOR
5914,tm92967,Wolfgang Reitherman,,DIRECTOR
58917,tm120497,John Hough,,DIRECTOR
44408,tm87467,Gary Nelson,,DIRECTOR
36769,tm124852,Norman Tokar,,DIRECTOR
7712,tm51992,Clyde Geronimi,,DIRECTOR
60494,tm51953,Charles Barton,,DIRECTOR
23550,tm56825,David Swift,,DIRECTOR
62950,tm45750,Jack Donohue,,DIRECTOR
62954,tm45750,Austen Jewell,,DIRECTOR
17303,tm79567,Robert Stevenson,,DIRECTOR
17303,tm123901,Robert Stevenson,,DIRECTOR
36769,tm96700,Norman Tokar,,DIRECTOR
45525,tm68472,Robert Butler,,DIRECTOR
58917,tm12159,John Hough,,DIRECTOR
57604,tm324940,Norman Foster,,DIRECTOR
96993,tm324940,Lewis R. Foster,,DIRECTOR
17303,tm15888,Robert Stevenson,,DIRECTOR
181427,tm66587,Jack Hannah,,DIRECTOR
24607,tm59862,Ken Annakin,,DIRECTOR
36769,tm119319,Norman Tokar,,DIRECTOR
17303,tm87512,Robert Stevenson,,DIRECTOR
69327,tm30426,Fletcher Markle,,DIRECTOR
39223,tm7719,Don Chaffey,,DIRECTOR
36769,tm156939,Norman Tokar,,DIRECTOR
61529,tm183361,James Neilson,,DIRECTOR
57604,tm112491,Norman Foster,,DIRECTOR
33843,tm91299,Vincent McEveety,,DIRECTOR
36769,tm73745,Norman Tokar,,DIRECTOR
61529,tm115739,James Neilson,,DIRECTOR
39223,tm44585,Don Chaffey,,DIRECTOR
33843,tm124019,Vincent McEveety,,DIRECTOR
33843,tm91078,Vincent McEveety,,DIRECTOR
36769,tm18794,Norman Tokar,,DIRECTOR
24607,tm42937,Ken Annakin,,DIRECTOR
104436,tm78765,Russ Mayberry,,DIRECTOR
17303,tm107435,Robert Stevenson,,DIRECTOR
33843,tm88710,Vincent McEveety,,DIRECTOR
558719,tm124426,Paul Kenworthy,,DIRECTOR
40989,tm124426,Ralph Wright,,DIRECTOR
33843,tm67783,Vincent McEveety,,DIRECTOR
33843,tm152094,Vincent McEveety,,DIRECTOR
33843,tm11266,Vincent McEveety,,DIRECTOR
1441489,tm109409,Bernard McEveety,,DIRECTOR
119963,tm181425,Peter Tewksbury,,DIRECTOR
23438,tm104617,James Algar,,DIRECTOR
33843,tm98555,Vincent McEveety,,DIRECTOR
23438,tm19764,James Algar,,DIRECTOR
486588,tm1027745,David Acomba,,DIRECTOR
559499,tm15129,Larry Lansburgh,,DIRECTOR
549866,tm24673,Charles L Draper,,DIRECTOR
23438,tm90286,James Algar,,DIRECTOR
23438,tm111322,James Algar,,DIRECTOR
57604,tm95184,Norman Foster,,DIRECTOR
27082,tm15819,Don Bluth,,DIRECTOR
543011,tm10775,Steve Previn,,DIRECTOR
23438,tm47139,James Algar,,DIRECTOR
222248,tm153909,Hollingsworth Morse,,DIRECTOR
534668,tm218826,Jack Speirs,,DIRECTOR
564395,tm60333,Milt Schaffer,,DIRECTOR
36769,tm79554,Norman Tokar,,DIRECTOR
33843,tm107673,Vincent McEveety,,DIRECTOR
44408,tm260657,Gary Nelson,,DIRECTOR
36769,tm10086,Norman Tokar,,DIRECTOR
181427,tm107951,Jack Hannah,,DIRECTOR
181427,tm19308,Jack Hannah,,DIRECTOR
181427,tm61982,Jack Hannah,,DIRECTOR
17303,tm894355,Robert Stevenson,,DIRECTOR
23442,tm894355,Hamilton Luske,,DIRECTOR
222985,tm205517,Bruce Bilson,,DIRECTOR
181427,tm109842,Jack Hannah,,DIRECTOR
13776,tm58414,Ben Sharpsteen,,DIRECTOR
62951,tm123160,Ward Kimball,,DIRECTOR
181427,tm59473,Jack Hannah,,DIRECTOR
133968,tm230979,William Beaudine,,DIRECTOR
23446,tm895685,Wilfred Jackson,,DIRECTOR
133968,tm895685,William Beaudine,,DIRECTOR
181427,tm133398,Jack Hannah,,DIRECTOR
23446,tm918170,Wilfred Jackson,,DIRECTOR
23438,tm109497,James Algar,,DIRECTOR
181427,tm102930,Jack Hannah,,DIRECTOR
210932,tm105638,Charles A. Nichols,,DIRECTOR
17303,tm74573,Robert Stevenson,,DIRECTOR
181427,tm110618,Jack Hannah,,DIRECTOR
181427,tm60664,Jack Hannah,,DIRECTOR
23438,tm137469,James Algar,,DIRECTOR
21736,tm94576,Edward M. Abroms,,DIRECTOR
181427,tm129658,Jack Hannah,,DIRECTOR
210932,tm19229,Charles A. Nichols,,DIRECTOR
1013583,tm757109,John Tracy,,DIRECTOR
23438,tm55594,James Algar,,DIRECTOR
62951,tm106320,Ward Kimball,,DIRECTOR
23442,tm847798,Hamilton Luske,,DIRECTOR
224,tm19438,Rob Reiner,,DIRECTOR
8212,tm147893,Tim Burton,,DIRECTOR
3238,tm49092,Robert Zemeckis,,DIRECTOR
1324,tm47587,Ron Howard,,DIRECTOR
2354,tm21021,Chris Columbus,,DIRECTOR
2224,tm131031,Walter Murch,,DIRECTOR
2354,tm155184,Chris Columbus,,DIRECTOR
2070,tm142764,Joe Johnston,,DIRECTOR
1324,tm173648,Ron Howard,,DIRECTOR
28692,tm116020,Randal Kleiser,,DIRECTOR
6629,tm46793,Steven Lisberger,,DIRECTOR
7368,tm19084,Leonard Nimoy,,DIRECTOR
30898,tm127019,Ted Berman,,DIRECTOR
30903,tm127019,Richard Rich,,DIRECTOR
95490,tm3,Richard Marquand,,DIRECTOR
17614,tm131193,Roger Spottiswoode,,DIRECTOR
6248,tm54457,Jim Abrahams,,DIRECTOR
25699,tm127015,Jim Henson,,DIRECTOR
47330,tm125611,Ken Wheat,,DIRECTOR
47329,tm125611,Jim Wheat,,DIRECTOR
70337,tm171883,John Korty,,DIRECTOR
80322,tm116429,Burny Mattinson,,DIRECTOR
12186,tm116429,Ron Clements,,DIRECTOR
80320,tm116429,David Michener,,DIRECTOR
12184,tm116429,John Musker,,DIRECTOR
111291,ts233,Art Vitello,,DIRECTOR
37537,ts233,Jymn Magon,,DIRECTOR
12184,tm139255,John Musker,,DIRECTOR
12186,tm139255,Ron Clements,,DIRECTOR
89827,tm45667,George Scribner,,DIRECTOR
62870,tm57222,John R. Cherry III,,DIRECTOR
88842,tm128057,Jeremy Kagan,,DIRECTOR
47492,tm156156,Mike Gabriel,,DIRECTOR
47491,tm156156,Hendel Butoy,,DIRECTOR
30898,tm126966,Ted Berman,,DIRECTOR
80318,tm126966,Art Stevens,,DIRECTOR
30903,tm126966,Richard Rich,,DIRECTOR
27540,tm152805,Emile Ardolino,,DIRECTOR
8212,tm164406,Tim Burton,,DIRECTOR
43739,tm146813,Bob Hathcock,,DIRECTOR
25431,tm160651,Nils Gaup,,DIRECTOR
65225,tm23825,Joe Camp,,DIRECTOR
80322,tm66657,Burny Mattinson,,DIRECTOR
33843,tm123092,Vincent McEveety,,DIRECTOR
1986,tm111692,John Lasseter,,DIRECTOR
89827,tm152951,George Scribner,,DIRECTOR
1986,tm135273,John Lasseter,,DIRECTOR
20909,tm126783,Phillip Borsos,,DIRECTOR
458291,tm120517,Alan Shapiro,,DIRECTOR
69621,tm341045,Oz Scott,,DIRECTOR
1986,tm19762,John Lasseter,,DIRECTOR
20437,tm131374,Rob Minkoff,,DIRECTOR
5566,tm131374,Frank Marshall,,DIRECTOR
1986,tm46878,John Lasseter,,DIRECTOR
31752,tm120337,Mick Garris,,DIRECTOR
239525,tm176458,Alvy Ray Smith,,DIRECTOR
143131,tm141214,Jeff Blyth,,DIRECTOR
925,tm117853,Wes Craven,,DIRECTOR
69621,tm26441,Oz Scott,,DIRECTOR
56992,tm874,Gil Junger,,DIRECTOR
2825,tm18191,Bryan Singer,,DIRECTOR
32214,tm189317,Daniel Stern,,DIRECTOR
17056,tm55150,David Lynch,,DIRECTOR
7904,tm19613,Boaz Yakin,,DIRECTOR
10108,tm7861,Jon Turteltaub,,DIRECTOR
3770,tm57184,Nancy Meyers,,DIRECTOR
24221,tm11036,Steven Brill,,DIRECTOR
18789,tm9378,Stephen Herek,,DIRECTOR
2070,tm5330,Joe Johnston,,DIRECTOR
27540,tm124857,Emile Ardolino,,DIRECTOR
29232,tm190977,Sam Weisman,,DIRECTOR
13593,tm26792,Mark Dindal,,DIRECTOR
16778,tm105031,Henry Selick,,DIRECTOR
21412,tm189771,Duwayne Dunham,,DIRECTOR
2115,tm4,George Lucas,,DIRECTOR
7666,tm57241,Raja Gosnell,,DIRECTOR
18789,tm190949,Stephen Herek,,DIRECTOR
10108,tm190696,Jon Turteltaub,,DIRECTOR
16778,tm185041,Henry Selick,,DIRECTOR
18789,tm124456,Stephen Herek,,DIRECTOR
1986,tm14765,John Lasseter,,DIRECTOR
11705,tm113629,Roger Allers,,DIRECTOR
20437,tm113629,Rob Minkoff,,DIRECTOR
32450,tm118953,Rupert Wainwright,,DIRECTOR
24933,tm127070,Kenny Ortega,,DIRECTOR
1986,tm62982,John Lasseter,,DIRECTOR
12186,tm123824,Ron Clements,,DIRECTOR
12184,tm123824,John Musker,,DIRECTOR
20194,tm53427,Rob Marshall,,DIRECTOR
12184,tm191537,John Musker,,DIRECTOR
12186,tm191537,Ron Clements,,DIRECTOR
598592,tm66175,Tony Bancroft,,DIRECTOR
12886,tm66175,Barry Cook,,DIRECTOR
4787,tm103448,Brian Henson,,DIRECTOR
36361,tm6899,Steve Miner,,DIRECTOR
11994,tm105016,Francis Ford Coppola,,DIRECTOR
25178,tm190043,Les Mayfield,,DIRECTOR
15504,tm10470,Kevin Lima,,DIRECTOR
6824,tm44033,Chris Buck,,DIRECTOR
15504,tm44033,Kevin Lima,,DIRECTOR
24933,tm190165,Kenny Ortega,,DIRECTOR
27082,tm109272,Don Bluth,,DIRECTOR
27083,tm109272,Gary Goldman,,DIRECTOR
56046,tm190870,Robert Iscove,,DIRECTOR
2354,tm130837,Chris Columbus,,DIRECTOR
30469,tm184147,Bill Duke,,DIRECTOR
1986,tm40070,John Lasseter,,DIRECTOR
47008,tm9048,Gary Trousdale,,DIRECTOR
87950,tm9048,Kirk Wise,,DIRECTOR
74991,tm119659,Jonathan Prince,,DIRECTOR
63213,tm8912,Holly Goldberg Sloan,,DIRECTOR
10108,tm20705,Jon Turteltaub,,DIRECTOR
4787,tm131129,Brian Henson,,DIRECTOR
18630,tm22497,Eric Leighton,,DIRECTOR
18629,tm22497,Ralph Zondag,,DIRECTOR
21029,tm189664,John Pasquin,,DIRECTOR
25463,tm38184,Robert C. Ramirez,,DIRECTOR
26817,tm62353,Paul Brizzi,,DIRECTOR
10555,tm62353,Don Hahn,,DIRECTOR
80355,tm62353,Eric Goldberg,,DIRECTOR
51399,tm62353,Francis Glebas,,DIRECTOR
47491,tm62353,Hendel Butoy,,DIRECTOR
92302,tm62353,Gaëtan Brizzi,,DIRECTOR
23438,tm62353,James Algar,,DIRECTOR
37057,tm62353,Pixote Hunt,,DIRECTOR
38793,tm12122,James Orr,,DIRECTOR
18789,tm1695,Stephen Herek,,DIRECTOR
21029,tm115014,John Pasquin,,DIRECTOR
47008,tm108880,Gary Trousdale,,DIRECTOR
87950,tm108880,Kirk Wise,,DIRECTOR
80355,tm11864,Eric Goldberg,,DIRECTOR
47492,tm11864,Mike Gabriel,,DIRECTOR
5857,tm189008,Stephen Sommers,,DIRECTOR
14910,tm104563,Paul Michael Glaser,,DIRECTOR
86486,ts20699,Jamie Mitchell,,DIRECTOR
481922,ts43344,Larry Brody,,DIRECTOR
1406526,tm49681,David Kellogg,,DIRECTOR
7666,tm192747,Raja Gosnell,,DIRECTOR
30590,tm63063,Ron Underwood,,DIRECTOR
50250,tm119015,Toby Shelton,,DIRECTOR
49868,tm119015,Tad Stones,,DIRECTOR
82672,tm119015,Alan Zaslove,,DIRECTOR
28692,tm130852,Randal Kleiser,,DIRECTOR
29232,tm117838,Sam Weisman,,DIRECTOR
15018,tm14980,Peter Hewitt,,DIRECTOR
28692,tm12374,Randal Kleiser,,DIRECTOR
49868,tm111327,Tad Stones,,DIRECTOR
20777,tm113048,David R. Ellis,,DIRECTOR
20484,tm39792,Donald Petrie,,DIRECTOR
71287,tm10920,Michael Gottlieb,,DIRECTOR
23286,tm11400,Simon Wincer,,DIRECTOR
23585,tm192728,Stanley Tong,,DIRECTOR
28000,tm67505,Darrell Rooney,,DIRECTOR
25463,tm61321,Robert C. Ramirez,,DIRECTOR
63406,tm43588,Steve Boyum,,DIRECTOR
70336,tm113590,Charles Haid,,DIRECTOR
21412,tm42549,Duwayne Dunham,,DIRECTOR
23045,tm104241,David M. Evans,,DIRECTOR
38590,tm24436,Douglas McCarthy,,DIRECTOR
599755,tm61632,Greg Beeman,,DIRECTOR
253342,tm51884,Maurice Joyce,,DIRECTOR
47337,tm110769,Rob Lieberman,,DIRECTOR
7047,tm191826,Dean Cundey,,DIRECTOR
12814,tm13851,Jeremiah S. Chechik,,DIRECTOR
80081,tm187779,James Lapine,,DIRECTOR
65453,tm118708,Ken Olin,,DIRECTOR
15504,tm560,Kevin Lima,,DIRECTOR
65291,tm193086,Xavier Koller,,DIRECTOR
22057,tm190553,Karl Geurs,,DIRECTOR
19503,tm22933,Jun Falkenstein,,DIRECTOR
40309,tm51489,Kenneth Johnson,,DIRECTOR
21166,tm18863,Jim Kammerud,,DIRECTOR
132805,tm63109,Ken Cameron,,DIRECTOR
16936,tm53567,LeVar Burton,,DIRECTOR
40309,tm64295,Kenneth Johnson,,DIRECTOR
435910,tm65486,Euzhan Palcy,,DIRECTOR
42022,tm192276,Andrew Knight,,DIRECTOR
50251,tm46480,Bill Speers,,DIRECTOR
50250,tm46480,Toby Shelton,,DIRECTOR
15681,tm46480,Bradley Raymond,,DIRECTOR
19503,tm46480,Jun Falkenstein,,DIRECTOR
914893,tm46480,Alex Mann,,DIRECTOR
103409,tm56602,Arlene Sanford,,DIRECTOR
181880,tm52742,Keith Ingham,,DIRECTOR
24366,tm23725,Kevin Hooks,,DIRECTOR
207799,tm60240,Rod Daniel,,DIRECTOR
63950,tm191851,Bob Spiers,,DIRECTOR
599755,tm39132,Greg Beeman,,DIRECTOR
379059,tm17532,Theodore Thomas,,DIRECTOR
66345,tm56569,Paul Schneider,,DIRECTOR
159012,tm52424,John Murlowski,,DIRECTOR
5657,tm22055,Ralph Eggleston,,DIRECTOR
115696,tm54352,Dale Case,,DIRECTOR
115697,tm54352,Cullen Blaine,,DIRECTOR
63406,tm49771,Steve Boyum,,DIRECTOR
207799,tm21420,Rod Daniel,,DIRECTOR
21412,tm61627,Duwayne Dunham,,DIRECTOR
49651,tm64787,Nick Marck,,DIRECTOR
73538,tm17754,Robert Townsend,,DIRECTOR
33866,tm192613,Jan Pinkava,,DIRECTOR
66345,tm56857,Paul Schneider,,DIRECTOR
599755,tm29703,Greg Beeman,,DIRECTOR
109488,tm27619,Blair Treu,,DIRECTOR
15681,tm49485,Bradley Raymond,,DIRECTOR
82829,tm49485,Tom Ellery,,DIRECTOR
127872,tm24519,Joyce Chopra,,DIRECTOR
12886,tm186295,Barry Cook,,DIRECTOR
63406,tm22701,Steve Boyum,,DIRECTOR
21412,tm19899,Duwayne Dunham,,DIRECTOR
266810,tm24952,Dereck Joubert,,DIRECTOR
599755,tm19463,Greg Beeman,,DIRECTOR
63406,tm19235,Steve Boyum,,DIRECTOR
118823,tm17610,Bill Corcoran,,DIRECTOR
67817,tm7772,Daniel Petrie,,DIRECTOR
3447,tm133512,Gore Verbinski,,DIRECTOR
3156,tm135853,James Cameron,,DIRECTOR
10108,tm90391,Jon Turteltaub,,DIRECTOR
4665,tm151348,Wes Anderson,,DIRECTOR
590681,tm22112,Shawn Levy,,DIRECTOR
2354,tm90273,Chris Columbus,,DIRECTOR
10108,tm79327,Jon Turteltaub,,DIRECTOR
3447,tm31764,Gore Verbinski,,DIRECTOR
10791,tm138563,Andrew Davis,,DIRECTOR
5667,tm180742,Andrew Adamson,,DIRECTOR
1681,tm51227,Jon Favreau,,DIRECTOR
8212,tm100267,Tim Burton,,DIRECTOR
4795,tm25151,Andrew Stanton,,DIRECTOR
4685,tm116550,Chris Wedge,,DIRECTOR
12471,tm48427,Garry Marshall,,DIRECTOR
6623,tm99496,Joseph Kosinski,,DIRECTOR
9103,tm170269,Tim Story,,DIRECTOR
34150,tm99086,Randall Wallace,,DIRECTOR
3447,tm84873,Gore Verbinski,,DIRECTOR
15504,tm84668,Kevin Lima,,DIRECTOR
2222,tm70557,Brad Bird,,DIRECTOR
12184,tm103874,John Musker,,DIRECTOR
12186,tm103874,Ron Clements,,DIRECTOR
590681,tm137900,Shawn Levy,,DIRECTOR
18336,tm150254,Mark Waters,,DIRECTOR
594967,tm90577,Gavin O'Connor,,DIRECTOR
11146,tm154915,Gavin Hood,,DIRECTOR
10108,tm102214,Jon Turteltaub,,DIRECTOR
2222,tm84505,Brad Bird,,DIRECTOR
14035,tm68154,Peter Hedges,,DIRECTOR
2825,tm136160,Bryan Singer,,DIRECTOR
4792,tm153612,Pete Docter,,DIRECTOR
30815,tm76258,Tim Hill,,DIRECTOR
590681,tm142274,Shawn Levy,,DIRECTOR
19725,tm177722,Mike Mitchell,,DIRECTOR
12387,tm106045,Thor Freudenthal,,DIRECTOR
1681,tm92312,Jon Favreau,,DIRECTOR
4795,tm135549,Andrew Stanton,,DIRECTOR
21549,tm38852,Jimmy Hayward,,DIRECTOR
21550,tm38852,Steve Martino,,DIRECTOR
9898,tm96866,Mike Newell,,DIRECTOR
1986,tm31341,John Lasseter,,DIRECTOR
5493,tm75152,David Silverman,,DIRECTOR
87950,tm29915,Kirk Wise,,DIRECTOR
47008,tm29915,Gary Trousdale,,DIRECTOR
7026,tm120806,John Lee Hancock,,DIRECTOR
15018,tm87455,Peter Hewitt,,DIRECTOR
15932,tm138383,P.J. Hogan,,DIRECTOR
6896,tm114448,Chris Sanders,,DIRECTOR
6895,tm114448,Dean DeBlois,,DIRECTOR
26617,tm177274,Wayne Wang,,DIRECTOR
4792,tm37560,Pete Docter,,DIRECTOR
5763,tm38375,Brett Ratner,,DIRECTOR
23045,tm163433,David M. Evans,,DIRECTOR
2115,tm6,George Lucas,,DIRECTOR
6780,tm68147,Stephen J. Anderson,,DIRECTOR
13593,tm179262,Mark Dindal,,DIRECTOR
5862,tm183058,Bill Paxton,,DIRECTOR
3889,tm21946,Ericson Core,,DIRECTOR
9816,tm103181,Andy Fickman,,DIRECTOR
70223,tm94814,Alex Kirby,,DIRECTOR
2115,tm5,George Lucas,,DIRECTOR
5667,tm54852,Andrew Adamson,,DIRECTOR
592059,tm100894,Byron Howard,,DIRECTOR
12056,tm100894,Nathan Greno,,DIRECTOR
12719,tm63076,Adam Shankman,,DIRECTOR
45416,tm35022,James Gartner,,DIRECTOR
15190,tm34558,Dave Filoni,,DIRECTOR
79015,tm35085,Stefen Fangmeier,,DIRECTOR
12719,tm164391,Adam Shankman,,DIRECTOR
4689,tm145443,Carlos Saldanha,,DIRECTOR
4689,tm26315,Carlos Saldanha,,DIRECTOR
1556,tm76049,Frank Coraci,,DIRECTOR
20437,tm137650,Rob Minkoff,,DIRECTOR
36959,tm98015,Julie Anne Robinson,,DIRECTOR
5491,tm101226,Lee Unkrich,,DIRECTOR
9816,tm142670,Andy Fickman,,DIRECTOR
12471,tm88315,Garry Marshall,,DIRECTOR
69913,tm168452,Angela Robinson,,DIRECTOR
6779,tm35821,Chris Williams,,DIRECTOR
592059,tm35821,Byron Howard,,DIRECTOR
24933,tm22511,Kenny Ortega,,DIRECTOR
